location_id;node_id;municipality_code
0105708;facility:0105708;351640
0105759;facility:0105759;354870
0105767;facility:0105767;354870
0105805;facility:0105805;330170
0106496;facility:0106496;292740
0106526;facility:0106526;292740
0107689;facility:0107689;311830
0107913;facility:0107913;260020
0108375;facility:0108375;292740
0109703;facility:0109703;312230
0109746;facility:0109746;354780
0110140;facility:0110140;521800
0110310;facility:0110310;350900
0110345;facility:0110345;330515
0110612;facility:0110612;351907
0110981;facility:0110981;355280
0111163;facility:0111163;210530
0111171;facility:0111171;261130
0111775;facility:0111775;260825
0111813;facility:0111813;260540
0111856;facility:0111856;260600
0112062;facility:0112062;354330
0112542;facility:0112542;353470
0112755;facility:0112755;260320
0113115;facility:0113115;330490
0113891;facility:0113891;330490
0113921;facility:0113921;352390
0115509;facility:0115509;352850
0115878;facility:0115878;521880
0118095;facility:0118095;290570
0118427;facility:0118427;315460
0119253;facility:0119253;411410
0119377;facility:0119377;261050
0126772;facility:0126772;330010
0127248;facility:0127248;261250
0127604;facility:0127604;350570
0127647;facility:0127647;260990
0127752;facility:0127752;261220
0127876;facility:0127876;351300
0128341;facility:0128341;330040
0128651;facility:0128651;261540
0130575;facility:0130575;260190
0131202;facility:0131202;292740
0131237;facility:0131237;330190
0133272;facility:0133272;355410
0134163;facility:0134163;352440
0134252;facility:0134252;261160
0135569;facility:0135569;110011
0136131;facility:0136131;313820
0136328;facility:0136328;353800
0136581;facility:0136581;270430
0145742;facility:0145742;140010
0147028;facility:0147028;261160
0147907;facility:0147907;250750
0151475;facility:0151475;260680
0153087;facility:0153087;230640
0154369;facility:0154369;211130
0154687;facility:0154687;330020
0155055;facility:0155055;330170
0157392;facility:0157392;231230
0158100;facility:0158100;355030
0158119;facility:0158119;355030
0161438;facility:0161438;355030
0163279;facility:0163279;354780
0163864;facility:0163864;411150
0164542;facility:0164542;261180
0175404;facility:0175404;280030
0176664;facility:0176664;160030
0179434;facility:0179434;330520
0179817;facility:0179817;150360
0180505;facility:0180505;291080
0180637;facility:0180637;211130
0181277;facility:0181277;510622
0181927;facility:0181927;430930
0184632;facility:0184632;330555
0188425;facility:0188425;210570
0189979;facility:0189979;351050
0191787;facility:0191787;210480
0196231;facility:0196231;210820
0196495;facility:0196495;313420
0197831;facility:0197831;350950
0208116;facility:0208116;270170
0210188;facility:0210188;520450
0211125;facility:0211125;293360
0211397;facility:0211397;150380
0212679;facility:0212679;316860
0213527;facility:0213527;350600
0213837;facility:0213837;110070
0213845;facility:0213845;410940
0214310;facility:0214310;330452
0218669;facility:0218669;510790
0219436;facility:0219436;330360
0220027;facility:0220027;150240
0220337;facility:0220337;250400
0221015;facility:0221015;330020
0226491;facility:0226491;261390
0230065;facility:0230065;261390
0252492;facility:0252492;530010
0253987;facility:0253987;120040
0255297;facility:0255297;353390
0255874;facility:0255874;351840
0256684;facility:0256684;270470
0258857;facility:0258857;230730
0260134;facility:0260134;354980
0265500;facility:0265500;261160
0270865;facility:0270865;317020
0272957;facility:0272957;316720
0282715;facility:0282715;240810
0283800;facility:0283800;293070
0302961;facility:0302961;354390
0407720;facility:0407720;240810
0451126;facility:0451126;420460
0473502;facility:0473502;317020
0478024;facility:0478024;354980
0478849;facility:0478849;354980
0502138;facility:0502138;351620
0503894;facility:0503894;291930
0514292;facility:0514292;150680
0547484;facility:0547484;521460
0559458;facility:0559458;292740
0604828;facility:0604828;350950
0605107;facility:0605107;355220
0605484;facility:0605484;355220
0607126;facility:0607126;292740
0621110;facility:0621110;351500
0622222;facility:0622222;292740
0622508;facility:0622508;292740
0625310;facility:0625310;210530
0625469;facility:0625469;355220
0636800;facility:0636800;350550
0642118;facility:0642118;280030
0647101;facility:0647101;353930
0648582;facility:0648582;350210
0650471;facility:0650471;311430
0650587;facility:0650587;352240
0650595;facility:0650595;350750
0651109;facility:0651109;314015
0664219;facility:0664219;210120
0665037;facility:0665037;355220
0667404;facility:0667404;312610
0679550;facility:0679550;330455
0684651;facility:0684651;355220
0694622;facility:0694622;351060
2000024;facility:2000024;120042
2000083;facility:2000083;120033
2000121;facility:2000121;120060
2000172;facility:2000172;120020
2000296;facility:2000296;120020
2000385;facility:2000385;120040
2000393;facility:2000393;120070
2000636;facility:2000636;120030
2000725;facility:2000725;120045
2000733;facility:2000733;120040
2000822;facility:2000822;120045
2000857;facility:2000857;120038
2000865;facility:2000865;120050
2000970;facility:2000970;120034
2000997;facility:2000997;120038
2001020;facility:2001020;120005
2001500;facility:2001500;120010
2001578;facility:2001578;120040
2001586;facility:2001586;120040
2001594;facility:2001594;120035
2002078;facility:2002078;120040
2003368;facility:2003368;270430
2003570;facility:2003570;270940
2003775;facility:2003775;270670
2003856;facility:2003856;270210
2003910;facility:2003910;270235
2005026;facility:2005026;270030
2005050;facility:2005050;270030
2005123;facility:2005123;270030
2005417;facility:2005417;270030
2006197;facility:2006197;270430
2006286;facility:2006286;270430
2006340;facility:2006340;270430
2006359;facility:2006359;270430
2006413;facility:2006413;270430
2006421;facility:2006421;270430
2006448;facility:2006448;270430
2006510;facility:2006510;270430
2006944;facility:2006944;270430
2006960;facility:2006960;270430
2006979;facility:2006979;270430
2007037;facility:2007037;270430
2008106;facility:2008106;270040
2008858;facility:2008858;270850
2009161;facility:2009161;270510
2009242;facility:2009242;270380
2009250;facility:2009250;270430
2009528;facility:2009528;270100
2009900;facility:2009900;270430
2010151;facility:2010151;270860
2010356;facility:2010356;270230
2010380;facility:2010380;270130
2010631;facility:2010631;270630
2010887;facility:2010887;270280
2011166;facility:2011166;270690
2011689;facility:2011689;270070
2011859;facility:2011859;130395
2011875;facility:2011875;130230
2011891;facility:2011891;130255
2011905;facility:2011905;130310
2012022;facility:2012022;130050
2012030;facility:2012030;130260
2012162;facility:2012162;130260
2012383;facility:2012383;130080
2012472;facility:2012472;130260
2012480;facility:2012480;130260
2012499;facility:2012499;130070
2012553;facility:2012553;130410
2012618;facility:2012618;130240
2012677;facility:2012677;130260
2012685;facility:2012685;130260
2012804;facility:2012804;130423
2012839;facility:2012839;130185
2013029;facility:2013029;130260
2013045;facility:2013045;130030
2013258;facility:2013258;130250
2013274;facility:2013274;130260
2013282;facility:2013282;130014
2013320;facility:2013320;130353
2013606;facility:2013606;130260
2013614;facility:2013614;130180
2013649;facility:2013649;130260
2014688;facility:2014688;130270
2015242;facility:2015242;130040
2016125;facility:2016125;130406
2016141;facility:2016141;130420
2016249;facility:2016249;130400
2016354;facility:2016354;130068
2016397;facility:2016397;130140
2016419;facility:2016419;130090
2016443;facility:2016443;130426
2016540;facility:2016540;130300
2016605;facility:2016605;130063
2016648;facility:2016648;130006
2016656;facility:2016656;130083
2016672;facility:2016672;130020
2016893;facility:2016893;130340
2016923;facility:2016923;130190
2016974;facility:2016974;130060
2017016;facility:2017016;130170
2017318;facility:2017318;130260
2017431;facility:2017431;130260
2017555;facility:2017555;130100
2017644;facility:2017644;130260
2017652;facility:2017652;130110
2017717;facility:2017717;130160
2017768;facility:2017768;130002
2017849;facility:2017849;130260
2017997;facility:2017997;130165
2018071;facility:2018071;130260
2018098;facility:2018098;130260
2018101;facility:2018101;130260
2018128;facility:2018128;130390
2018136;facility:2018136;130120
2018144;facility:2018144;130290
2018403;facility:2018403;130260
2018969;facility:2018969;130260
2019523;facility:2019523;130130
2019558;facility:2019558;130260
2019566;facility:2019566;130260
2019574;facility:2019574;130260
2019590;facility:2019590;130260
2019647;facility:2019647;160030
2019671;facility:2019671;160070
2019701;facility:2019701;160010
2019728;facility:2019728;160020
2019736;facility:2019736;160053
2020068;facility:2020068;160030
2020076;facility:2020076;160027
2020165;facility:2020165;160040
2020645;facility:2020645;160030
2020653;facility:2020653;160030
2020890;facility:2020890;160030
2021064;facility:2021064;160060
2021218;facility:2021218;160015
2021463;facility:2021463;160050
2022621;facility:2022621;350950
2022648;facility:2022648;350950
2023016;facility:2023016;350940
2023474;facility:2023474;352470
2023709;facility:2023709;352340
2023865;facility:2023865;352420
2024438;facility:2024438;353110
2024691;facility:2024691;351340
2024756;facility:2024756;350850
2024772;facility:2024772;350860
2025361;facility:2025361;354870
2025477;facility:2025477;352430
2025507;facility:2025507;352900
2025752;facility:2025752;354850
2026805;facility:2026805;351860
2027186;facility:2027186;352240
2027240;facility:2027240;355030
2027356;facility:2027356;354870
2028204;facility:2028204;353130
2028239;facility:2028239;355430
2028840;facility:2028840;355030
2039001;facility:2039001;355250
2040069;facility:2040069;351880
2040573;facility:2040573;352050
2042894;facility:2042894;354850
2053500;facility:2053500;353150
2053519;facility:2053519;353150
2058243;facility:2058243;355090
2058308;facility:2058308;353340
2058340;facility:2058340;354190
2058405;facility:2058405;355200
2058626;facility:2058626;351110
2058782;facility:2058782;354140
2058790;facility:2058790;350160
2065665;facility:2065665;355030
2066092;facility:2066092;355030
2066572;facility:2066572;355030
2068974;facility:2068974;355030
