cnes;municipality_code;uf;health_region_code;health_region_id;source_file
3962695;120020;AC;;;STAC2101.dbf
3963071;120020;AC;;;STAC2101.dbf
5216532;120020;AC;;;STAC2101.dbf
5336171;120020;AC;;;STAC2101.dbf
5411734;120020;AC;;;STAC2101.dbf
5710111;120020;AC;;;STAC2101.dbf
6000665;120020;AC;;;STAC2101.dbf
6002587;120020;AC;;;STAC2101.dbf
6002609;120020;AC;;;STAC2101.dbf
6002722;120020;AC;;;STAC2101.dbf
6003486;120020;AC;;;STAC2101.dbf
6003508;120020;AC;;;STAC2101.dbf
6003524;120020;AC;;;STAC2101.dbf
6003699;120020;AC;;;STAC2101.dbf
6003710;120020;AC;;;STAC2101.dbf
6007139;120020;AC;;;STAC2101.dbf
6159087;120020;AC;;;STAC2101.dbf
6238203;120020;AC;;;STAC2101.dbf
6270638;120020;AC;;;STAC2101.dbf
6756611;120020;AC;;;STAC2101.dbf
6764533;120020;AC;;;STAC2101.dbf
6765025;120020;AC;;;STAC2101.dbf
6788637;120020;AC;;;STAC2101.dbf
6801099;120020;AC;;;STAC2101.dbf
6917682;120020;AC;;;STAC2101.dbf
6963684;120020;AC;;;STAC2101.dbf
7007531;120020;AC;;;STAC2101.dbf
7007574;120020;AC;;;STAC2101.dbf
7036280;120020;AC;0003;AC-0003;STAC2101.dbf
7036302;120020;AC;;;STAC2101.dbf
7139454;120020;AC;;;STAC2101.dbf
7209185;120020;AC;;;STAC2101.dbf
7232489;120020;AC;;;STAC2101.dbf
7247435;120020;AC;;;STAC2101.dbf
7330871;120020;AC;;;STAC2101.dbf
7334710;120020;AC;0003;AC-0003;STAC2101.dbf
7343736;120020;AC;0003;AC-0003;STAC2101.dbf
7375913;120020;AC;;;STAC2101.dbf
7416326;120020;AC;;;STAC2101.dbf
7425597;120020;AC;;;STAC2101.dbf
7445830;120020;AC;;;STAC2101.dbf
7473737;120020;AC;;;STAC2101.dbf
7560133;120020;AC;;;STAC2101.dbf
7560141;120020;AC;;;STAC2101.dbf
7560583;120020;AC;;;STAC2101.dbf
7560591;120020;AC;;;STAC2101.dbf
7561113;120020;AC;;;STAC2101.dbf
7619278;120020;AC;0003;AC-0003;STAC2101.dbf
7878303;120020;AC;0003;AC-0003;STAC2101.dbf
7915241;120020;AC;;;STAC2101.dbf
9012052;120020;AC;0003;AC-0003;STAC2101.dbf
9117539;120020;AC;;;STAC2101.dbf
9134379;120020;AC;0003;AC-0003;STAC2101.dbf
9160868;120020;AC;;;STAC2101.dbf
9175172;120020;AC;;;STAC2101.dbf
9301984;120020;AC;;;STAC2101.dbf
9402489;120020;AC;;;STAC2101.dbf
9522573;120020;AC;;;STAC2101.dbf
9549838;120020;AC;0003;AC-0003;STAC2101.dbf
9695729;120020;AC;;;STAC2101.dbf
9705317;120020;AC;;;STAC2101.dbf
9712135;120020;AC;;;STAC2101.dbf
9715258;120020;AC;;;STAC2101.dbf
9746110;120020;AC;;;STAC2101.dbf
9828915;120020;AC;;;STAC2101.dbf
9894640;120020;AC;;;STAC2101.dbf
9953396;120020;AC;;;STAC2101.dbf
9957650;120020;AC;;;STAC2101.dbf
9966501;120020;AC;;;STAC2101.dbf
9988084;120020;AC;;;STAC2101.dbf
0068446;120025;AC;;;STAC2101.dbf
2001314;120025;AC;0002;AC-0002;STAC2101.dbf
2001322;120025;AC;0002;AC-0002;STAC2101.dbf
2001330;120025;AC;0002;AC-0002;STAC2101.dbf
2003090;120025;AC;0002;AC-0002;STAC2101.dbf
2003112;120025;AC;0002;AC-0002;STAC2101.dbf
