edge_id;source_facility_id;target_location_id;target_location_type;transfer_count;distance_km;match_method;confidence_score;rule_version;assumption_revision;source_node_id;target_node_id;source_node_exists;target_node_exists
a496774194c3b12807a1;2077574;0102105;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2077574;facility:0102105;True;True
16efe336b605303ad2ee;2077582;2790602;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2077582;facility:2790602;True;True
34bf1bc099092b8e10bd;2077620;2079240;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2077620;facility:2079240;True;True
d6de8665104826426a29;2077639;2070766;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2077639;facility:2070766;True;True
ef75e9f0fb3f464d57e9;2077647;2083116;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2077647;facility:2083116;True;True
6c1307faabffc0adf72b;2077957;2077957;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2077957;facility:2077957;True;True
3c28cd20fbd73c04cd32;2078015;2078015;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2078015;facility:2078015;True;True
02d4d335baef8e4b1a47;2078104;0008052;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2078104;facility:0008052;True;True
2bc5a70e722288c5be13;2078139;2755130;facility;3;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2078139;facility:2755130;True;True
6bf21a02c4e1430765ea;2078503;2078775;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2078503;facility:2078775;True;True
859cdebfcbdb3a5523f4;2078538;2786435;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2078538;facility:2786435;True;True
02c1e0084f9203846654;2078902;2090236;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2078902;facility:2090236;True;True
7a73634de912f68c9dc1;2079119;2082187;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2079119;facility:2082187;True;True
2ae77e55638090d6f30a;2079518;3126838;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2079518;facility:3126838;True;True
4f252a4fc65685b0f60c;2079615;2087618;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2079615;facility:2087618;True;True
44a069d184b168269c70;2079704;2079704;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2079704;facility:2079704;True;True
8e0c795f8331552650fd;2079828;2078015;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2079828;facility:2078015;True;True
119b6d1b99c69cda384c;2079828;2079828;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2079828;facility:2079828;True;True
813a56f1bd03e8e4efb4;2080028;2084163;facility;2;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2080028;facility:2084163;True;True
c26ddc4614976f21c18e;2080079;2080052;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2080079;facility:2080052;True;True
8aba147aba9bc6fb133d;2080184;2081695;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2080184;facility:2081695;True;True
95f34be7e25b5ea823b6;2080184;2765942;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2080184;facility:2765942;True;True
36344fdb5bc6f960e020;2080370;2790556;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2080370;facility:2790556;True;True
829a7f27532a38c296f9;2080370;2790602;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2080370;facility:2790602;True;True
5b52fdcbc74c90ba1dea;2080443;2748223;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2080443;facility:2748223;True;True
602cf64c5976675acd15;2080664;2025507;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2080664;facility:2025507;True;True
95fe44c986e8f802d87b;2080788;2080575;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2080788;facility:2080575;True;True
be512262f1eadc15269e;2081083;2083116;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2081083;facility:2083116;True;True
02866cc362585a0f30b9;2081105;2078775;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2081105;facility:2078775;True;True
5cfdccb91b683934a7a2;2081407;2078104;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2081407;facility:2078104;True;True
e6d620e41e39afb71f71;2081407;2078538;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2081407;facility:2078538;True;True
0bb52e363d6364cd1a8b;2081431;2077647;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2081431;facility:2077647;True;True
6bd36ad1d19d1a88b8fc;2081598;2088193;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2081598;facility:2088193;True;True
4efddc7ca576b698d4ce;2081644;9491252;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2081644;facility:9491252;True;True
747fb39bccf071528fb1;2081695;9491112;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2081695;facility:9491112;True;True
9467645cb2d11e1a2a1a;2081717;2081717;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2081717;facility:2081717;True;True
7be192474c3c43ea0d3e;2081970;0102075;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2081970;facility:0102075;True;True
2dd6cd2bca0248516327;2081970;2075962;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2081970;facility:2075962;True;True
47631889ede5a00fc233;2082128;6053858;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2082128;facility:6053858;True;True
d004f3b1e33a7ae7c378;2082209;2071568;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2082209;facility:2071568;True;True
91408562614478890b21;2082209;6095666;facility;3;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2082209;facility:6095666;True;True
4b649ee8487ad42b1d66;2082322;2080931;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2082322;facility:2080931;True;True
e6ed8113c5b16fc6aac4;2082381;0255297;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2082381;facility:0255297;True;True
c3edbb20d2e228dc1b9c;2082381;2092611;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2082381;facility:2092611;True;True
51dcabf63412ca11be92;2082438;2025507;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2082438;facility:2025507;True;True
881ba8f3bed2dcb9d64a;2082586;2025507;facility;2;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2082586;facility:2025507;True;True
2f25107241d5b3417c41;2082640;2082640;facility;2;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2082640;facility:2082640;True;True
3d387f18d11c1acdc8bf;2082780;2079135;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2082780;facility:2079135;True;True
09b43b51504de72b9765;2082861;2080427;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2082861;facility:2080427;True;True
f8c234c8886b70d36ad4;2083175;2078015;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2083175;facility:2078015;True;True
d91e77a171c711f5a7d9;2083876;3028399;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2083876;facility:3028399;True;True
f30ef86bdce295d497a0;2086050;2025507;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2086050;facility:2025507;True;True
7630ba44ca976d063a26;2087111;3126838;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2087111;facility:3126838;True;True
b91a1cb1f1180b07ffa3;2087219;7573162;facility;2;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2087219;facility:7573162;True;True
d757e3928cbfad73dad3;2088495;2080575;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2088495;facility:2080575;True;True
13e36bfd8dfcb4ddced5;2088576;2088576;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2088576;facility:2088576;True;True
36b589c3f0d5b5caa02b;2089327;2089327;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08;facility:2089327;facility:2089327;True;True
