edge_id;source_facility_id;target_location_id;target_location_type;transfer_count;distance_km;match_method;confidence_score;rule_version;assumption_revision
ddeb33d8089cce0e2978;0024228;2080273;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
4c004219eb071e3a64d7;0105589;2716097;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
7edfb0d4dfa508a82b9c;0105597;2078104;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
990b13835cff7203f862;0109746;0008923;facility;8;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
bc74fb1b508a85455324;0109746;0163279;facility;2;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
5e9dba4b7110b15c7a6b;0110981;2078015;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
337a6eff60ca23e46112;0110981;2688689;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
56f7c4745a519105dcab;0112542;2077647;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
bf9bad76c57788a2d90e;0133272;9491252;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
b0ac45569165d885ffa3;0189979;2082926;facility;3;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
8f611e8570d3ec0a8494;2023474;2084317;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
8efd04e9fc5191a20f62;2024691;2082926;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
2bc87877f41c90587b97;2024691;2755092;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
36dea4a214071cecec43;2025477;2082187;facility;2;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
98aead2b3cfea8b4b606;2039001;2080680;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
aeecf80e2b19ee0df459;2042894;2025752;facility;6;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
0ddd898ff9fe6255a882;2058308;2083086;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
783984ecaf571eb0fe11;2058405;2024691;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
331b99785c245530036a;2066092;2091755;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
335f1ea65a1a24c3715d;2076896;2077485;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
ab5acb97e2f3c9e28a83;2076896;2077671;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
f9280a2c7a6c346e8527;2076896;2078015;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
e3de43e62781ccdf0032;2076926;2071568;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
4e42515c77d08ea033d5;2076942;2748223;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
122dec25f53a3649c83c;2077426;2091585;facility;1;;4pillars_strict;1.0;v1_4pillars_strict_2026_04_08;2026-04-08
