location_id;node_id;municipality_code
2079968;facility:2079968;355580
2079976;facility:2079976;352640
2080028;facility:2080028;351380
2080044;facility:2080044;354940
2080052;facility:2080052;353060
2080079;facility:2080079;351570
2080087;facility:2080087;355450
2080095;facility:2080095;352570
2080109;facility:2080109;354040
2080117;facility:2080117;351620
2080125;facility:2080125;355030
2080184;facility:2080184;352390
2080192;facility:2080192;352390
2080222;facility:2080222;350870
2080273;facility:2080273;354780
2080281;facility:2080281;351900
2080338;facility:2080338;351880
2080346;facility:2080346;355030
2080354;facility:2080354;354850
2080362;facility:2080362;352070
2080370;facility:2080370;353890
2080400;facility:2080400;354340
2080427;facility:2080427;351880
2080443;facility:2080443;355010
2080451;facility:2080451;352130
2080478;facility:2080478;353700
2080508;facility:2080508;350130
2080524;facility:2080524;354240
2080532;facility:2080532;354140
2080575;facility:2080575;355030
2080583;facility:2080583;355030
2080605;facility:2080605;355470
2080621;facility:2080621;354000
2080664;facility:2080664;355500
2080680;facility:2080680;353060
2080737;facility:2080737;351660
2080745;facility:2080745;354630
2080788;facility:2080788;355030
2080826;facility:2080826;352190
2080842;facility:2080842;351000
2080869;facility:2080869;353660
2080907;facility:2080907;353490
2080915;facility:2080915;350640
2080923;facility:2080923;354970
2080931;facility:2080931;354890
2080958;facility:2080958;353530
2080966;facility:2080966;351520
2080982;facility:2080982;351190
2080990;facility:2080990;352900
2081059;facility:2081059;353650
2081083;facility:2081083;350400
2081091;facility:2081091;352260
2081105;facility:2081105;355630
2081113;facility:2081113;354390
2081164;facility:2081164;354340
2081202;facility:2081202;354330
2081229;facility:2081229;353600
2081237;facility:2081237;354380
2081253;facility:2081253;350330
2081261;facility:2081261;350700
2081296;facility:2081296;350930
2081342;facility:2081342;355600
2081350;facility:2081350;353880
2081377;facility:2081377;355710
2081385;facility:2081385;355510
2081393;facility:2081393;355160
2081407;facility:2081407;352520
2081431;facility:2081431;352740
2081458;facility:2081458;352690
2081466;facility:2081466;352450
2081482;facility:2081482;350950
2081490;facility:2081490;350950
2081512;facility:2081512;351840
2081520;facility:2081520;351780
2081555;facility:2081555;352320
2081563;facility:2081563;351518
2081571;facility:2081571;354420
2081598;facility:2081598;355360
2081644;facility:2081644;351840
2081652;facility:2081652;351690
2081660;facility:2081660;352090
2081695;facility:2081695;355220
2081717;facility:2081717;351370
2081725;facility:2081725;352710
2081733;facility:2081733;350160
2081768;facility:2081768;350420
2081784;facility:2081784;350790
2081792;facility:2081792;352810
2081806;facility:2081806;350110
2081814;facility:2081814;351820
2081873;facility:2081873;354220
2081903;facility:2081903;355640
2081970;facility:2081970;355030
2081989;facility:2081989;350740
2082071;facility:2082071;351070
2082098;facility:2082098;350270
2082128;facility:2082128;350950
2082179;facility:2082179;350160
2082187;facility:2082187;354340
2082195;facility:2082195;350190
2082209;facility:2082209;350570
2082225;facility:2082225;355030
2082276;facility:2082276;351880
2082284;facility:2082284;355080
2082306;facility:2082306;351080
2082322;facility:2082322;354070
2082349;facility:2082349;352940
2082381;facility:2082381;350610
2082411;facility:2082411;353980
2082438;facility:2082438;355720
2082446;facility:2082446;350010
2082454;facility:2082454;355500
2082470;facility:2082470;350330
2082497;facility:2082497;350630
2082519;facility:2082519;353550
2082527;facility:2082527;350320
2082551;facility:2082551;351940
2082586;facility:2082586;353460
2082594;facility:2082594;354880
2082632;facility:2082632;350530
2082640;facility:2082640;351960
2082659;facility:2082659;353300
2082667;facility:2082667;353140
2082675;facility:2082675;350280
2082691;facility:2082691;350210
2082721;facility:2082721;355060
2082748;facility:2082748;350220
2082756;facility:2082756;354540
2082780;facility:2082780;351160
2082810;facility:2082810;351390
2082829;facility:2082829;355030
2082845;facility:2082845;353390
2082853;facility:2082853;350590
2082861;facility:2082861;351880
2082888;facility:2082888;354390
2082926;facility:2082926;351050
2082934;facility:2082934;355300
2082942;facility:2082942;352800
2083019;facility:2083019;353010
2083027;facility:2083027;353740
2083051;facility:2083051;350250
