node_id;node_type;name;municipality_code;latitude;longitude;capacity_beds;habilitation_level
facility:0008028;facility;HOSPITAL MUNICIPAL ANTONIO GIGLIO;353440;-23.53232235;-46.77712772881206;;
facility:0008036;facility;HOSPITAL MATERNIDADE AMADOR AGUIAR;353440;-23.5047325;-46.7881282;;
facility:0008052;facility;HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO;353440;-23.5249302;-46.771938984518826;;
facility:0008087;facility;PRONTO SOCORRO CONRADO CESARINO NUVOLINI;353440;-23.554722982325107;-46.80203676223755;;
facility:0008141;facility;PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA;353440;-23.51256385847313;-46.775901317596436;;
facility:0008494;facility;UPA BANGU;354780;-23.6411957;-46.5274164;;
facility:0008923;facility;CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO;354780;-23.6659455;-46.527573514565624;;
facility:0009601;facility;HOSPITAL PIO XII;354990;-23.1631693;-45.900583347539566;;
facility:0009628;facility;HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE;354990;-23.1806184;-45.85483410737851;;
facility:0009695;facility;CENTRO DE REFERENCIA EM MOLESTIAS INFECCIOSAS;354990;-23.2008696;-45.8906204;;
facility:0021520;facility;UPA VILA LUZITA;354780;-23.699371499999998;-46.507145410165954;;
facility:0024228;facility;UPA CENTRAL EMILIO PIRES MAGALHAES;354780;-23.6565972;-46.532651684926066;;
facility:0026417;facility;HOSPITAL DE CLINICAS SUL;354990;-23.237994272343403;-45.90937614440918;;
facility:0092894;facility;HOSPITAL REGIONAL DO LITORAL NORTE;351050;-23.623372;-45.417158;;
facility:0102075;facility;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;355030;-23.4757;-46.6974281;;
facility:0102105;facility;HOSPITAL MUNICIPAL BRASILANDIA;355030;-23.4757036;-46.6974047;;
facility:0102741;facility;HOSPITAL DE CAMPANHA COVID 19 ARARAQUARA;350320;-21.81084947416039;-48.17721337080002;;
facility:0103462;facility;HOSPITAL DE CAMPANHA COVID 19;353340;-22.8025456;-47.311115;;
facility:0104795;facility;HOSPITAL DE CAMPANHA COVID 19 HOSPITAL VITORIA;354850;-23.952561;-46.3359015;;
facility:0105589;facility;HOSPITAL DE CAMPANHA COVID 19 FALCAO;354100;-24.0810734;-46.5943298;;
facility:0105597;facility;HOSPITAL DE CAMPANHA COVID 19 OSASCO;353440;-23.51362765;-46.788874412861276;;
facility:0105759;facility;HOSPITAL DE CAMPANHA COVID 19 HOSPITAL DE URGENCIA;354870;-23.715734422660287;-46.55452787876129;;
facility:0105767;facility;HOSPITAL DE CAMPANHA COVID 19 HOSPITAL ANCHIETA;354870;-23.714192500000003;-46.5444141188369;;
facility:0109746;facility;HOSPITAL DE CAMPANHA COVID 19 PEDRO DELL ANTONIA;354780;-23.6706964;-46.5104779;;
facility:0110310;facility;HOSPITAL DE CAMPANHA COVID 19 CAIEIRAS;350900;-23.3929897;-46.7134702;;
facility:0110612;facility;UNIDADE RESPIRATORIA NOVA HORTOLANDIA;351907;-22.85804492556616;-47.22001075744629;;
facility:0110981;facility;HOSPITAL DE CAMPANHA COVID 19 DR AKIRA TADA;355280;-23.6171331;-46.7616769;;
facility:0112062;facility;HOSPITAL DE CAMPANHA RIBEIRAO PIRES;354330;-23.711;-46.413;;
facility:0112542;facility;HOSPITAL DE CAMPANHA COVID 19;353470;-22.979647;-49.867347;;
facility:0113921;facility;HOSPITAL DE CAMPANHA;352390;-23.2695046;-47.2955734;;
facility:0115509;facility;HOSPITAL DE CLINICAS ANJO GABRIEL;352850;-23.276967932863997;-46.56528899114714;;
facility:0127604;facility;HOSPITAL DE RETAGUARDA DO JARDIM PAULISTA;350570;-23.540805866833043;-46.88161253929138;;
facility:0133272;facility;HOSPITAL DE CAMPANHA COVID 19 MUNICIPIO DE TAUBATE;355410;-23.0306062;-45.5675989;;
facility:0134163;facility;HOSPITAL DE CAMPANHA COVID 19 JACAREI;352440;-23.2998558;-45.9825136;;
facility:0136328;facility;UNIDADE MISTA CIDADE NOVA PINDAMONHANGABA;353800;-22.9451305;-45.4115655;;
facility:0158119;facility;COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA;355030;-23.548;-46.636;;
facility:0161438;facility;HOSPITAL MUNICIPAL GUARAPIRANGA;355030;-23.705922;-46.741949;;
facility:0163279;facility;HOSPITAL DE CAMPANHA COVID 19 UFABC;354780;-23.64465645;-46.52841501014528;;
facility:0189979;facility;HOSPITAL DE CAMPANHA COVID 19 CARAGUATATUBA;351050;-23.6308412;-45.4210671;;
facility:0197831;facility;HOSPITAL DE CAMPANHA COVID 19 CARLOS LOURENCO;350950;-22.9225783;-47.0274248;;
facility:0213527;facility;HOSPITAL ESTADUAL DE CAMPANHA COVID 19 BAURU;350600;-22.3335201;-49.0600231;;
facility:0255297;facility;HOSPITAL ESTADUAL COVID 19 BEBEDOURO;350610;-20.949;-48.479;;
facility:0255874;facility;HOSPITAL DE CAMPANHA COVID 19 GUARATINGUETA;351840;-22.8223812;-45.1910647;;
facility:0302961;facility;HOSPITAL DE CAMPANHA COVID 19 RIO CLARO;354390;-22.411;-47.561;;
facility:0404853;facility;AME AMBULATORIO MEDICO DE ESPECIALIDADES DE CAMPINAS;350950;-22.906004791640036;-47.06388473510742;;
facility:0478024;facility;UBS LUZ DA ESPERANCA;354980;-20.772713;-49.318524;;
facility:0478849;facility;UBS FRATERNIDADE;354980;-20.876123;-49.339139;;
facility:2022621;facility;MATERNIDADE DE CAMPINAS;350950;-22.89936;-47.06323;;
