node_id;node_type;name;municipality_code;latitude;longitude;capacity_beds;habilitation_level
facility:2026805;facility;CNES 2026805 (Guariba - SP);351860;-21.395946130999494;-48.226566969369884;;
facility:2027186;facility;CNES 2027186 (Itapeva - SP);352240;-23.91407536438256;-48.87171677769314;;
facility:2027240;facility;CNES 2027240 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2027356;facility;CNES 2027356 (São Bernardo do Campo - SP);354870;-23.812966500120577;-46.5507941698001;;
facility:2028204;facility;CNES 2028204 (Monte Alto - SP);353130;-21.259310286068086;-48.53301961100064;;
facility:2028239;facility;CNES 2028239 (Teodoro Sampaio - SP);355430;-22.416603288940276;-52.37404345411149;;
facility:2028840;facility;CNES 2028840 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2039001;facility;CNES 2039001 (Suzano - SP);355250;-23.608379629977488;-46.310439553105475;;
facility:2040069;facility;CNES 2040069 (Guarulhos - SP);351880;-23.40268009559481;-46.45487945397167;;
facility:2040573;facility;CNES 2040573 (Indaiatuba - SP);352050;-23.106094625469183;-47.20250531026522;;
facility:2042894;facility;CNES 2042894 (Santos - SP);354850;-23.868898172775825;-46.29151878988766;;
facility:2053500;facility;CNES 2053500 (Monte Azul Paulista - SP);353150;-20.908876742160864;-48.68130853244665;;
facility:2053519;facility;CNES 2053519 (Monte Azul Paulista - SP);353150;-20.908876742160864;-48.68130853244665;;
facility:2058243;facility;CNES 2058243 (São Simão - SP);355090;-21.46153335798067;-47.56827521437502;;
facility:2058308;facility;CNES 2058308 (Nova Odessa - SP);353340;-22.78410467087701;-47.2851780431944;;
facility:2058340;facility;CNES 2058340 (Queluz - SP);354190;-22.504246200122996;-44.785288194591324;;
facility:2058405;facility;CNES 2058405 (Silveiras - SP);355200;-22.734618151058385;-44.840921807386984;;
facility:2058626;facility;CNES 2058626 (Catanduva - SP);351110;-21.133750467039658;-48.96368334571453;;
facility:2058782;facility;CNES 2058782 (Presidente Prudente - SP);354140;-21.993182240909483;-51.34313661889382;;
facility:2058790;facility;CNES 2058790 (Americana - SP);350160;-22.723245297838602;-47.289106162100595;;
facility:2065665;facility;CNES 2065665 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2066092;facility;CNES 2066092 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2066572;facility;CNES 2066572 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2068974;facility;CNES 2068974 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2069008;facility;CNES 2069008 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2069776;facility;CNES 2069776 (São Bernardo do Campo - SP);354870;-23.812966500120577;-46.5507941698001;;
facility:2070766;facility;CNES 2070766 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2071371;facility;CNES 2071371 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2071568;facility;CNES 2071568 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2072033;facility;CNES 2072033 (Embu-Guaçu - SP);351510;-23.85428451133274;-46.83065442349385;;
facility:2072513;facility;CNES 2072513 (Santana de Parnaíba - SP);354730;-23.449448112748996;-46.91684767976479;;
facility:2075717;facility;CNES 2075717 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2075962;facility;CNES 2075962 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2076896;facility;CNES 2076896 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2076926;facility;CNES 2076926 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2076942;facility;CNES 2076942 (Itatinga - SP);352350;-23.1536618675025;-48.629363838875584;;
facility:2076985;facility;CNES 2076985 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:2077078;facility;CNES 2077078 (Embu das Artes - SP);351500;-23.651339266900113;-46.851535666315634;;
facility:2077124;facility;CNES 2077124 (Carapicuíba - SP);351060;-23.550057495133906;-46.841919667034716;;
facility:2077310;facility;CNES 2077310 (Guaratinguetá - SP);351840;-22.793493019698023;-45.232850004708986;;
