node_id;node_type;name;municipality_code;latitude;longitude;capacity_beds;habilitation_level
facility:2071371;facility;CNES 2071371 (São Paulo - SP);355030;;;;
facility:2071568;facility;CNES 2071568 (São Paulo - SP);355030;;;;
facility:2072033;facility;CNES 2072033 (Embu-Guaçu - SP);351510;;;;
facility:2072513;facility;CNES 2072513 (Santana de Parnaíba - SP);354730;;;;
facility:2075717;facility;CNES 2075717 (São Paulo - SP);355030;;;;
facility:2075962;facility;CNES 2075962 (São Paulo - SP);355030;;;;
facility:2076896;facility;CNES 2076896 (São Paulo - SP);355030;;;;
facility:2076926;facility;CNES 2076926 (São Paulo - SP);355030;;;;
facility:2076942;facility;CNES 2076942 (Itatinga - SP);352350;;;;
facility:2076985;facility;CNES 2076985 (São Paulo - SP);355030;;;;
facility:2077078;facility;CNES 2077078 (Embu das Artes - SP);351500;;;;
facility:2077124;facility;CNES 2077124 (Carapicuíba - SP);351060;;;;
facility:2077310;facility;CNES 2077310 (Guaratinguetá - SP);351840;;;;
facility:2077388;facility;CNES 2077388 (São Paulo - SP);355030;;;;
facility:2077396;facility;CNES 2077396 (São José do Rio Preto - SP);354980;;;;
facility:2077418;facility;CNES 2077418 (São Paulo - SP);355030;;;;
facility:2077426;facility;CNES 2077426 (São Paulo - SP);355030;;;;
facility:2077434;facility;CNES 2077434 (Pariquera-Açu - SP);353620;;;;
facility:2077450;facility;CNES 2077450 (São Paulo - SP);355030;;;;
facility:2077477;facility;CNES 2077477 (São Paulo - SP);355030;;;;
facility:2077485;facility;CNES 2077485 (São Paulo - SP);355030;;;;
facility:2077493;facility;CNES 2077493 (São Paulo - SP);355030;;;;
facility:2077507;facility;CNES 2077507 (São Paulo - SP);355030;;;;
facility:2077515;facility;CNES 2077515 (Arandu - SP);350310;;;;
facility:2077523;facility;CNES 2077523 (São Paulo - SP);355030;;;;
facility:2077531;facility;CNES 2077531 (São Paulo - SP);355030;;;;
facility:2077558;facility;CNES 2077558 (Águas de Lindóia - SP);350050;;;;
facility:2077574;facility;CNES 2077574 (São Paulo - SP);355030;;;;
facility:2077582;facility;CNES 2077582 (Lençóis Paulista - SP);352680;;;;
facility:2077590;facility;CNES 2077590 (São Paulo - SP);355030;;;;
facility:2077620;facility;CNES 2077620 (São Paulo - SP);355030;;;;
facility:2077639;facility;CNES 2077639 (São Paulo - SP);355030;;;;
facility:2077647;facility;CNES 2077647 (Adamantina - SP);350010;;;;
facility:2077655;facility;CNES 2077655 (São Paulo - SP);355030;;;;
facility:2077671;facility;CNES 2077671 (São Paulo - SP);355030;;;;
facility:2077701;facility;CNES 2077701 (São Paulo - SP);355030;;;;
facility:2077752;facility;CNES 2077752 (São Paulo - SP);355030;;;;
facility:2077957;facility;CNES 2077957 (São Paulo - SP);355030;;;;
facility:2078015;facility;CNES 2078015 (São Paulo - SP);355030;;;;
facility:2078031;facility;CNES 2078031 (Ribeirão Preto - SP);354340;;;;
facility:2078074;facility;CNES 2078074 (Leme - SP);352670;;;;
facility:2078104;facility;CNES 2078104 (Itapevi - SP);352250;;;;
facility:2078112;facility;CNES 2078112 (Sales Oliveira - SP);354490;;;;
facility:2078139;facility;CNES 2078139 (Presidente Venceslau - SP);354150;;;;
facility:2078155;facility;CNES 2078155 (Guarulhos - SP);351880;;;;
facility:2078198;facility;CNES 2078198 (Santo Antônio da Alegria - SP);354790;;;;
facility:2078252;facility;CNES 2078252 (Birigui - SP);350650;;;;
facility:2078287;facility;CNES 2078287 (São Paulo - SP);355030;;;;
facility:2078295;facility;CNES 2078295 (Taquaritinga - SP);355370;;;;
facility:2078325;facility;CNES 2078325 (São Paulo - SP);355030;;;;
facility:2078341;facility;CNES 2078341 (Monte Mor - SP);353180;;;;
facility:2078384;facility;CNES 2078384 (Penápolis - SP);353730;;;;
facility:2078414;facility;CNES 2078414 (Guaíra - SP);351740;;;;
facility:2078422;facility;CNES 2078422 (Pedreira - SP);353710;;;;
facility:2078449;facility;CNES 2078449 (Patrocínio Paulista - SP);353630;;;;
facility:2078465;facility;CNES 2078465 (Campinas - SP);350950;;;;
facility:2078473;facility;CNES 2078473 (Cubatão - SP);351350;;;;
facility:2078503;facility;CNES 2078503 (Penápolis - SP);353730;;;;
facility:2078511;facility;CNES 2078511 (Ilha Solteira - SP);352044;;;;
facility:2078538;facility;CNES 2078538 (Itupeva - SP);352400;;;;
facility:2078546;facility;CNES 2078546 (São Bento do Sapucaí - SP);354860;;;;
facility:2078562;facility;CNES 2078562 (Itaquaquecetuba - SP);352310;;;;
facility:2078775;facility;CNES 2078775 (Araçatuba - SP);350280;;;;
facility:2078813;facility;CNES 2078813 (Sorocaba - SP);355220;;;;
facility:2078848;facility;CNES 2078848 (Amparo - SP);350190;;;;
facility:2078902;facility;CNES 2078902 (Pilar do Sul - SP);353790;;;;
facility:2078937;facility;CNES 2078937 (Aparecida d'Oeste - SP);350260;;;;
facility:2079011;facility;CNES 2079011 (Embu das Artes - SP);351500;;;;
facility:2079097;facility;CNES 2079097 (Capão Bonito - SP);351020;;;;
facility:2079119;facility;CNES 2079119 (Ribeirão Preto - SP);354340;;;;
facility:2079135;facility;CNES 2079135 (Tatuí - SP);355400;;;;
facility:2079178;facility;CNES 2079178 (Salto de Pirapora - SP);354530;;;;
facility:2079186;facility;CNES 2079186 (São Paulo - SP);355030;;;;
facility:2079194;facility;CNES 2079194 (Américo Brasiliense - SP);350170;;;;
facility:2079208;facility;CNES 2079208 (Mogi Mirim - SP);353080;;;;
facility:2079216;facility;CNES 2079216 (Castilho - SP);351100;;;;
facility:2079224;facility;CNES 2079224 (Itapuí - SP);352290;;;;
facility:2079232;facility;CNES 2079232 (Santa Bárbara d'Oeste - SP);354580;;;;
facility:2079240;facility;CNES 2079240 (São Paulo - SP);355030;;;;
facility:2079283;facility;CNES 2079283 (Panorama - SP);353540;;;;
facility:2079291;facility;CNES 2079291 (Palmeira d'Oeste - SP);353520;;;;
facility:2079313;facility;CNES 2079313 (Cabreúva - SP);350840;;;;
facility:2079321;facility;CNES 2079321 (Sorocaba - SP);355220;;;;
facility:2079348;facility;CNES 2079348 (Igarapava - SP);352010;;;;
facility:2079356;facility;CNES 2079356 (Tanabi - SP);355340;;;;
facility:2079364;facility;CNES 2079364 (Serrana - SP);355150;;;;
facility:2079380;facility;CNES 2079380 (Salesópolis - SP);354500;;;;
facility:2079399;facility;CNES 2079399 (Tabatinga - SP);355270;;;;
facility:2079410;facility;CNES 2079410 (Guarulhos - SP);351880;;;;
facility:2079429;facility;CNES 2079429 (Salto de Pirapora - SP);354530;;;;
facility:2079437;facility;CNES 2079437 (Maracaí - SP);352880;;;;
facility:2079461;facility;CNES 2079461 (Buritama - SP);350810;;;;
facility:2079496;facility;CNES 2079496 (Cravinhos - SP);351310;;;;
facility:2079518;facility;CNES 2079518 (Cunha - SP);351360;;;;
facility:2079550;facility;CNES 2079550 (Santa Adélia - SP);354560;;;;
facility:2079593;facility;CNES 2079593 (Registro - SP);354260;;;;
facility:2079615;facility;CNES 2079615 (Ibiúna - SP);351970;;;;
facility:2079682;facility;CNES 2079682 (Neves Paulista - SP);353250;;;;
facility:2079690;facility;CNES 2079690 (São Luiz do Paraitinga - SP);355000;;;;
facility:2079704;facility;CNES 2079704 (Socorro - SP);355210;;;;
facility:2079720;facility;CNES 2079720 (Santos - SP);354850;;;;
facility:2079763;facility;CNES 2079763 (Araraquara - SP);350320;;;;
