min_residence_count,min_transfer_count,distance_min_km,nodes,edges,components,largest_component_nodes,largest_component_share
3.0,1.0,25.0,9248,85441,1,9248,1.0
3.0,2.0,25.0,8902,82579,1,8902,1.0
3.0,3.0,25.0,8826,82011,1,8826,1.0
5.0,1.0,25.0,9050,64562,1,9050,1.0
5.0,2.0,25.0,8622,61700,1,8622,1.0
5.0,3.0,25.0,8518,61132,1,8518,1.0
10.0,1.0,25.0,8750,43272,6,8740,0.998857
10.0,2.0,25.0,8193,40410,5,8185,0.999024
10.0,3.0,25.0,8061,39842,5,8053,0.999008
