source_node_id,target_node_id,transfer_count,direct_distance_km,paths_found,k1_distance_km,k2_distance_km,k2_k1_ratio,no_alternative
municipality:500270,facility:0009717,21152.0,63.967799,3,63.967799,138.456697,2.164475,False
municipality:130260,facility:2013649,13372.0,58.543267,3,58.543267,156.431305,2.672063,False
municipality:130260,facility:3151794,12257.0,60.379865,1,60.379865,,,True
municipality:150680,facility:2329905,10651.0,64.496306,3,64.496306,150.280983,2.330071,False
municipality:160030,facility:2020068,10300.0,71.021879,3,71.021879,171.194601,2.410449,False
municipality:130260,facility:5169976,10205.0,57.866523,3,57.866523,167.624754,2.896748,False
municipality:500270,facility:0009725,9738.0,61.247384,3,61.247384,177.832831,2.903517,False
municipality:110020,facility:4001303,9334.0,65.191895,3,65.191895,188.462856,2.890894,False
municipality:150553,facility:2615746,8951.0,64.884357,3,64.884357,327.560251,5.04837,False
municipality:110020,facility:2493888,8943.0,60.633885,3,60.633885,188.521172,3.109172,False
municipality:130260,facility:6627595,8028.0,59.434453,3,59.434453,159.209546,2.678742,False
municipality:110030,facility:2798484,7286.0,72.504815,3,72.504815,349.754799,4.823884,False
municipality:500270,facility:0009709,6769.0,59.844536,3,59.844536,176.946718,2.956773,False
municipality:130260,facility:2019558,6520.0,61.949036,3,61.949036,159.645417,2.577044,False
municipality:211130,facility:2456958,6301.0,63.186561,3,63.186561,227.487954,3.600258,False
municipality:500320,facility:2376334,6289.0,102.365214,3,102.365214,648.995677,6.340002,False
municipality:130260,facility:2012685,5993.0,61.646774,3,61.646774,160.261766,2.599678,False
municipality:130260,facility:3004104,5601.0,52.506505,3,52.506505,162.468067,3.094246,False
municipality:500830,facility:2756951,5434.0,64.221564,3,64.221564,215.660583,3.358071,False
municipality:500270,facility:0009768,5371.0,62.760874,3,62.760874,173.073905,2.757672,False
municipality:120040,facility:2000733,5118.0,62.096041,3,62.096041,166.055703,2.674175,False
municipality:521250,facility:0010472,5106.0,51.66274,3,51.66274,207.902219,4.02422,False
municipality:150180,facility:2418657,5039.0,65.317348,3,65.317348,176.43556,2.701205,False
municipality:291800,facility:2400693,5023.0,91.570454,3,91.570454,175.452762,1.916041,False
municipality:130260,facility:2019574,5019.0,59.787725,3,59.787725,165.057735,2.760729,False
municipality:120040,facility:2001578,4941.0,61.897388,3,61.897388,165.470689,2.673306,False
municipality:110020,facility:3970442,4922.0,64.435214,3,64.435214,187.092036,2.903568,False
municipality:130260,facility:2017318,4771.0,55.933019,3,55.933019,185.650947,3.319166,False
municipality:290320,facility:3972925,4711.0,60.228486,3,60.228486,181.489606,3.013352,False
municipality:150060,facility:2330830,4639.0,411.461686,3,411.461686,527.323178,1.281585,False
