distance_min_km,edge_type,source_health_region_id,target_health_region_id,flow,edges,source_region_total,share_of_source_region_flow,weighted_mean_distance_km
25.0,residence,SP-0101,SP-0104,475.0,4,49979.0,0.009504,35.057125
25.0,residence,BA-0017,BA-0016,473.0,15,2907.0,0.162711,61.108356
25.0,residence,MS-0001,MS-0002,472.0,10,66709.0,0.007076,75.815133
25.0,residence,MG-0029,MG-0030,469.0,7,4727.0,0.099217,40.93856
25.0,residence,GO-0001,GO-0006,467.0,22,20996.0,0.022242,142.587521
25.0,residence,BA-0008,BA-0009,466.0,11,10820.0,0.043068,93.372917
25.0,residence,PI-0014,PI-0004,466.0,41,2944.0,0.158288,598.607419
25.0,residence,SC-0017,SC-0022,465.0,14,1452.0,0.320248,46.73064
25.0,residence,MA-2108,MA-0008,463.0,2,742.0,0.623989,28.520176
25.0,residence,MA-0007,MA-0006,459.0,11,5217.0,0.087982,63.372946
25.0,residence,PB-0006,PB-0001,459.0,35,3541.0,0.129624,264.009661
25.0,residence,SC-0006,SC-0018,456.0,36,3546.0,0.128596,208.764749
25.0,residence,PB-0010,PB-0001,454.0,32,1768.0,0.256787,357.473737
25.0,residence,BA-0019,BA-0024,453.0,11,11655.0,0.038867,89.732911
25.0,residence,AM-0001,AM-0007,452.0,5,126150.0,0.003583,82.123468
25.0,residence,SC-0009,SC-0018,450.0,29,1782.0,0.252525,159.721326
25.0,residence,BA-0030,BA-0001,447.0,34,3633.0,0.123039,508.133193
25.0,residence,MA-0005,MA-0018,442.0,8,5359.0,0.082478,77.957668
25.0,residence,PI-0013,PI-0004,442.0,29,5302.0,0.083365,475.971796
25.0,residence,RS-0007,RS-0001,442.0,26,1865.0,0.236997,206.303133
25.0,residence,SP-0214,SP-0220,442.0,12,7065.0,0.062562,41.891191
25.0,residence,BA-0007,BA-0013,441.0,23,5536.0,0.07966,78.457093
25.0,residence,SP-0208,SP-0013,441.0,6,5295.0,0.083286,36.93366
25.0,residence,MA-0013,MA-0001,440.0,37,8893.0,0.049477,417.452855
25.0,residence,SP-0204,SP-0219,438.0,6,3444.0,0.127178,34.713012
25.0,residence,MG-0007,MG-0012,435.0,19,8488.0,0.051249,92.155951
25.0,residence,PI-0012,PI-0010,434.0,12,4749.0,0.091388,258.43644
25.0,residence,MG-0013,SP-0005,433.0,18,16685.0,0.025951,126.64458
25.0,residence,RN-0004,RN-0005,433.0,17,7056.0,0.061366,62.675844
25.0,residence,RN-0008,RN-0007,431.0,16,2261.0,0.190624,200.149862
25.0,residence,SP-0202,SP-0101,427.0,26,6869.0,0.062163,318.310983
25.0,residence,SP-0220,SP-0214,427.0,17,1565.0,0.272843,70.474111
25.0,residence,CE-0020,CE-0001,426.0,28,2653.0,0.160573,388.039857
25.0,residence,MA-0005,MA-2105,424.0,4,5359.0,0.079119,50.287617
25.0,residence,PI-0007,PI-0009,422.0,13,3501.0,0.120537,83.18537
25.0,residence,SC-0004,SC-0010,420.0,7,4797.0,0.087555,32.321062
25.0,residence,SP-0101,SP-0207,420.0,18,49979.0,0.008404,79.989143
25.0,residence,SC-0001,SC-0005,416.0,23,3663.0,0.113568,41.687585
25.0,residence,SP-0216,SP-0201,416.0,22,30394.0,0.013687,62.058881
25.0,residence,PE-0005,PE-0006,414.0,26,14225.0,0.029104,119.483661
25.0,residence,MA-0003,MA-0004,413.0,11,7589.0,0.054421,66.19571
25.0,residence,RJ-0019,RJ-0033,411.0,5,52343.0,0.007852,48.944196
25.0,residence,MG-0024,MG-0023,410.0,21,13305.0,0.030815,55.564827
25.0,residence,GO-0006,GO-0015,409.0,14,6109.0,0.06695,75.036214
25.0,residence,BA-0021,BA-0016,406.0,29,8804.0,0.046115,146.279636
25.0,residence,MG-0007,MG-0013,406.0,19,8488.0,0.047832,236.769737
25.0,residence,PR-0015,PR-0002,404.0,37,9469.0,0.042666,353.866186
25.0,residence,PR-0007,PR-0010,403.0,15,6149.0,0.065539,172.606992
25.0,residence,PA-0008,AP-0001,402.0,12,16520.0,0.024334,147.376363
25.0,residence,SC-0007,SC-0022,401.0,17,3035.0,0.132125,75.700735
25.0,residence,MA-0018,MA-0017,400.0,3,7672.0,0.052138,57.725957
25.0,residence,GO-0013,GO-0003,399.0,20,1779.0,0.224283,336.598117
25.0,residence,RJ-0053,RJ-0330,396.0,2,2221.0,0.178298,35.358909
25.0,residence,SP-0217,SP-0212,394.0,3,11663.0,0.033782,82.722114
25.0,residence,SP-0002,SP-0202,393.0,3,576.0,0.682292,90.79953
25.0,residence,MG-0007,SP-0005,392.0,15,8488.0,0.046183,319.413776
25.0,residence,SC-0018,SC-0014,392.0,11,12007.0,0.032648,58.107639
25.0,residence,SP-0203,SP-0005,390.0,14,9480.0,0.041139,151.398473
25.0,residence,PE-0004,PE-0003,389.0,25,37344.0,0.010417,54.548746
25.0,residence,RN-0005,RN-0004,389.0,11,6662.0,0.058391,48.167008
25.0,residence,BA-0005,BA-0006,388.0,11,5163.0,0.07515,122.985028
25.0,residence,PR-0013,PR-0012,387.0,16,4288.0,0.090252,55.700611
25.0,residence,MS-0003,MS-0001,386.0,19,13509.0,0.028574,260.535373
25.0,residence,SC-0014,SC-0006,386.0,19,5048.0,0.076466,102.983015
25.0,residence,MA-0015,MA-0017,385.0,12,3570.0,0.107843,71.465296
25.0,residence,SC-0004,SC-0018,385.0,33,4797.0,0.080258,131.571201
25.0,residence,SC-0005,PR-0010,385.0,7,3119.0,0.123437,167.781496
25.0,residence,SC-0006,SC-0012,384.0,22,3546.0,0.108291,45.915199
25.0,residence,RS-0002,RS-0013,382.0,10,29064.0,0.013143,75.218583
25.0,residence,SC-0014,SC-0012,382.0,20,5048.0,0.075674,39.236689
