distance_min_km,source_node_id,source_name,source_municipality_code,source_health_region_id,total_flow,target_facilities,top_target_node_id,top_target_name,top_target_flow,top_target_share,cross_health_region_flow,cross_health_region_share,cross_uf_flow,cross_uf_share,weighted_mean_distance_km,max_edge_distance_km
25.0,municipality:270410,Lagoa da Canoa - AL,270410,AL-0007,159.0,7,facility:3015408,UNIDADE DE EMERGENCIA DR DANIEL HOULY,89.0,0.559748,70.0,0.440252,0.0,0.0,59.152644,112.132937
25.0,municipality:430057,Alto Feliz - RS,430057,RS-0005,25.0,3,facility:2223538,HOSPITAL GERAL,14.0,0.56,11.0,0.44,0.0,0.0,50.938795,88.321941
25.0,municipality:350330,Araras - SP,350330,SP-0210,450.0,19,facility:9425802,HOSPITAL REGIONAL DE PIRACICABA,79.0,0.175556,198.0,0.44,0.0,0.0,69.236975,237.441187
25.0,municipality:411710,Nova Londrina - PR,411710,PR-0014,566.0,11,facility:2754738,SANTA CASA DE PARANAVAI,317.0,0.560071,249.0,0.439929,0.0,0.0,99.744096,476.101165
25.0,municipality:220970,São Francisco do Piauí - PI,220970,PI-0010,296.0,10,facility:2365146,HOSPITAL REGIONAL TIBERIO NUNES,166.0,0.560811,130.0,0.439189,0.0,0.0,101.383851,241.40416
25.0,municipality:250020,Aguiar - PB,250020,PB-0007,164.0,8,facility:2600331,HOSPITAL WENCESLAU LOPES,61.0,0.371951,72.0,0.439024,0.0,0.0,89.129452,372.046493
25.0,municipality:210800,Pastos Bons - MA,210800,MA-0013,449.0,14,facility:9627812,MATERNIDADE ESTADUAL HUMBERTO COUTINHO,221.0,0.492205,197.0,0.438753,22.0,0.048998,123.592738,457.028594
25.0,municipality:352080,Inúbia Paulista - SP,352080,SP-0209,32.0,3,facility:2083086,HOSPITAL AMARAL CARVALHO JAU,14.0,0.4375,14.0,0.4375,0.0,0.0,177.830427,255.742609
25.0,municipality:412850,Wenceslau Braz - PR,412850,PR-0019,846.0,20,facility:3316300,HOSPITAL REGIONAL DO NORTE PIONEIRO,321.0,0.379433,370.0,0.437352,0.0,0.0,111.996255,226.613802
25.0,municipality:292450,Pindaí - BA,292450,BA-0030,311.0,13,facility:2804034,HOSPITAL GERAL DE GUANAMBI,166.0,0.533762,136.0,0.437299,10.0,0.032154,172.334109,1093.746902
25.0,municipality:412420,Santo Antônio do Caiuá - PR,412420,PR-0014,119.0,5,facility:2754738,SANTA CASA DE PARANAVAI,67.0,0.563025,52.0,0.436975,0.0,0.0,62.215054,120.38792
25.0,municipality:420080,Anchieta - SC,420080,SC-0001,277.0,13,facility:6683134,HOSPITAL REGIONAL TEREZINHA GAIO BASSO,141.0,0.509025,121.0,0.436823,81.0,0.292419,403.229856,1497.91075
25.0,municipality:432220,Tupanciretã - RS,432220,RS-0009,284.0,12,facility:2263858,HOSPITAL DE CARIDADE SAO VICENTE DE PAULO,147.0,0.517606,124.0,0.43662,0.0,0.0,88.381832,296.686236
25.0,municipality:250660,Ibiara - PB,250660,PB-0007,165.0,6,facility:2341204,HOSPITAL DISTRITAL DE ITAPORANGA DR JOSE GOMES DA SILVA,69.0,0.418182,72.0,0.436364,0.0,0.0,80.673871,394.770474
25.0,municipality:210380,Dom Pedro - MA,210380,MA-0014,649.0,17,facility:6483089,HOSPITAL MACRORREGIONAL DE URG E EMERG DE PRESIDENTE DUTRA,358.0,0.551618,283.0,0.436055,11.0,0.016949,108.801254,1785.112994
25.0,municipality:260875,Lagoa Grande - PE,260875,PE-0008,590.0,14,facility:2430711,HOSPITAL DOM MALAN,199.0,0.337288,257.0,0.435593,197.0,0.333898,115.364665,594.112932
25.0,municipality:210055,Amapá do Maranhão - MA,210055,MA-0009,310.0,8,facility:2457121,HOSPITAL MUNICIPAL DE GOVERNADOR NUNES FREIRE,156.0,0.503226,135.0,0.435484,0.0,0.0,71.714049,214.725709
25.0,municipality:431515,Progresso - RS,431515,RS-0016,129.0,7,facility:2252287,HOSPITAL BRUNO BORN,55.0,0.426357,56.0,0.434109,0.0,0.0,79.940968,140.503785
25.0,municipality:315950,Santa Rita do Itueto - MG,315950,MG-0016,53.0,2,facility:2222043,HOSPITAL MUNICIPAL,30.0,0.566038,23.0,0.433962,23.0,0.433962,83.084306,84.837424
25.0,municipality:355080,São Sebastião da Grama - SP,355080,SP-0220,196.0,10,facility:2705222,SANTA CASA DE MOCOCA MOCOCA,106.0,0.540816,85.0,0.433673,0.0,0.0,68.532291,200.605108
25.0,municipality:412730,Terra Rica - PR,412730,PR-0014,505.0,13,facility:2754738,SANTA CASA DE PARANAVAI,259.0,0.512871,219.0,0.433663,0.0,0.0,86.717037,466.329311
25.0,municipality:351250,Coroados - SP,351250,SP-0202,30.0,2,facility:2082675,ASSOCIACAO DE AMPARO AO EXCEPCIONAL RITINHA PRATES,17.0,0.566667,13.0,0.433333,0.0,0.0,65.537225,116.548634
