step,removed_node_id,removed_node_name,nodes,edges,largest_component_nodes,largest_component_share,sampled_average_shortest_path_km,path_increase_ratio
0,,,8622,61700,8622,1.0,1609.997327,0.0
1,facility:2090236,FUNDACAO PIO XII BARRETOS,8621,61208,8620,0.999884,1614.244974,0.002638
2,facility:2083086,HOSPITAL AMARAL CARVALHO JAU,8620,60973,8619,0.999884,1615.170636,0.003213
3,facility:2077396,HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO,8619,60731,8612,0.999188,1618.359573,0.005194
4,facility:2082187,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,8618,60545,8610,0.999072,1619.692069,0.006022
5,facility:7066376,HOSPITAL DE AMOR JALES,8617,60496,8609,0.999072,1622.618659,0.007839
