rank,node_id,name,municipality_code,betweenness,weighted_degree
1,facility:2090236,FUNDACAO PIO XII BARRETOS,350550,0.1148740434,9833.0
2,facility:2083086,HOSPITAL AMARAL CARVALHO JAU,352530,0.0915786044,7436.0
3,facility:2246988,HOSPITAL SAO VICENTE DE PAULO,431410,0.0746531431,6800.0
4,facility:2365146,HOSPITAL REGIONAL TIBERIO NUNES,220390,0.0576114178,6926.0
5,facility:2402564,HOSPITAL MUNICIPAL ESAU MATOS,293330,0.0538380036,3103.0
6,facility:2082187,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,354340,0.051678076,8296.0
7,facility:2077396,HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO,354980,0.0490737614,11798.0
8,facility:7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,231140,0.0486797555,4721.0
9,facility:0027014,SANTA CASA DE BELO HORIZONTE,310620,0.0457821972,7913.0
10,facility:2737434,CEONC,410480,0.0433316095,9370.0
11,facility:2786117,HOSPITAL GERAL DE PALMAS DR FRANCISCO AYRES,172100,0.0431068323,6983.0
12,facility:6602533,HOSPITAL ESTADUAL DA CRIANCA,291080,0.0365559993,4957.0
13,facility:2510391,HOSPITAL REGIONAL DE RUY BARBOSA,292720,0.0355031638,2958.0
14,facility:2149990,HOSPITAL SANTA CASA DE MONTES CLAROS,314330,0.0335744725,8064.0
15,facility:2533480,HOSPITAL NAIR ALVES DE SOUZA,292400,0.0311833086,762.0
16,facility:3157245,HOSPITAL UNIV PROFESSOR POLYDORO ERNANI DE SAO THIAGO,420540,0.0288464013,988.0
17,facility:2726726,HOSPITAL REGIONAL ANTONIO DIAS,314800,0.028557033,2552.0
18,facility:2748223,HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU,350750,0.0274874038,5688.0
19,facility:2078015,HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO,355030,0.0274564001,3688.0
20,facility:3972925,HOSPITAL DO OESTE,290320,0.0273853498,10955.0
21,facility:2452383,MATERNIDADE DE ALTO RISCO DE IMPERATRIZ,210530,0.0256620583,3094.0
22,facility:2615797,HOSPITAL MUNICIPAL DE MARABA,150420,0.0254411566,4608.0
23,facility:2237253,IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE,431490,0.0248637119,4662.0
24,facility:9336508,HOSPITAL REGIONAL DE BALSAS,210140,0.0246182656,4851.0
25,facility:4009622,HOSPITAL REGIONAL JUSTINO LUZ,220800,0.0235938501,2626.0
26,facility:2755130,HOSPITAL DOMINGOS LEONARDO CERAVOLO PRESIDENTE PRUDENTE,354140,0.0235925583,5734.0
27,facility:7066376,HOSPITAL DE AMOR JALES,352480,0.0232166379,278.0
28,facility:2673916,SARAH BRASILIA,530010,0.0221483005,1874.0
29,facility:2790564,HOSPITAL DE REABILITACAO DE ANOMALIAS CRANIOFACIAIS BAURU,350600,0.0218666832,1378.0
30,facility:2027186,SANTA CASA DE MISERICORDIA DE ITAPEVA,352240,0.0215902331,574.0
