node_id;node_type;name;municipality_code;latitude;longitude;capacity_beds;habilitation_level;is_public_hospital;analysis_scope;is_sus_linked;has_hospital_care;has_hospital_beds;is_public_admin;is_public_hospital_ref;coordinate_source;name_source;admissions;deaths;regulated_transfer_exits;median_stay_days;icu_marker_count;total_value;dominant_icd_chapter;dominant_sex;dominant_race_color;mean_age;mean_stay_days;death_rate;regulated_transfer_exit_rate;icu_marker_rate;mean_value_per_admission
facility:0002232;facility;HOSPITAL SANTA ISABEL;280030;-10.5921128;-36.9416223;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;16128.0;158.0;87.0;2.0;16128.0;19016087.5;O;3;03;24.043;3.255;0.009797;0.005394;1.0;1179.07
facility:0002275;facility;HOSPITAL SAO JOSE;280030;-10.901928850011457;-37.054874731476005;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;2779.0;80.0;173.0;1.0;2779.0;5001615.57;F;3;99;42.282;5.617;0.028787;0.062253;1.0;1799.79
facility:0002283;facility;HOSPITAL DE CIRURGIA;280030;-10.918480023566438;-37.07058548927307;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;7426.0;494.0;19.0;4.0;7426.0;38313943.58;I;1;99;56.164;6.527;0.066523;0.002559;1.0;5159.43
facility:0002372;facility;HOSPITAL MUNICIPAL ZONA SUL DES FERNANDO FRANCO;280030;-10.97481176954352;-37.07453196215632;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;1236.0;88.0;616.0;3.0;1236.0;1104204.27;B;1;99;48.365;3.855;0.071197;0.498382;1.0;893.37
facility:0002534;facility;HOSPITAL UNIVERSITARIO DE SERGIPE HUSE;280030;-10.8956986;-37.0597128096492;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;3352.0;152.0;14.0;2.0;3352.0;6325427.62;K;3;99;40.816;7.208;0.045346;0.004177;1.0;1887.06
facility:0002585;facility;CNES 0002585 (Aracaju - SE);280030;-10.99418891851923;-37.09490124668476;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;;;;;;;;;;;;;;;
facility:0003085;facility;CLINICA DE REPOUSO SAO MARCELLO LTDA;280030;-10.89267;-37.07144;;;False;excluded_non_public_hospital;;;;;;;;;;;;;;;;;;;;;;
facility:0003417;facility;FUNDACAO CLIMEDI;280030;-10.918122667868456;-37.0557336738333;;;True;included;1;0;1;1;1;ibge_malha;synthetic_municipality;91.0;0.0;0.0;1.0;91.0;112047.62;C;3;99;44.747;1.0;0.0;0.0;1.0;1231.29
facility:0003581;facility;INSTITUTO DE OLHOS DR CRISTIANO MENDONCA;280030;-10.917932222865868;-37.05585479736328;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;106.0;0.0;0.0;0.0;106.0;338021.79;H;1;99;58.104;0.0;0.0;0.0;1.0;3188.88
facility:0003778;facility;HOSPITAL ESTADUAL DA MULHER;292740;-12.937331590115347;-38.50674748420715;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;6756.0;273.0;54.0;2.0;6756.0;4204467.71;N;3;03;46.969;3.42;0.040409;0.007993;1.0;622.33
facility:0003786;facility;HOSPITAL ARISTIDES MALTEZ;292740;-12.9861396;-38.4923837;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;14933.0;1473.0;42.0;2.0;14933.0;57485502.34;C;3;03;55.028;4.786;0.098641;0.002813;1.0;3849.56
facility:0003794;facility;INSTITUTO DE PERINATOLOGIA DA BAHIA;292740;-12.985343165979309;-38.47686767578125;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;5133.0;9.0;53.0;3.0;5133.0;2925266.52;O;3;03;26.58;4.487;0.001753;0.010325;1.0;569.89
