source_node_id;target_node_id;edge_type;transfer_count;confidence_score;match_method;rule_version;assumption_revision;public_hospital_scope;source_latitude;source_longitude;source_municipality_code;target_latitude;target_longitude;target_municipality_code;distance_km;distance_band;same_municipality;source_uf;target_uf;same_uf_prefix;target_admissions;target_deaths;target_death_rate;target_mean_stay_days;target_regulated_transfer_exit_rate;target_icu_marker_rate;target_mean_value_per_admission;target_dominant_icd_chapter;self_transfer_edge
facility:0000035;facility:0147028;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.292214339969746;-35.04819802058195;260290;-8.088696406877409;-34.933369159698486;261160;25.920044380127383;0-50;False;26;26;True;1552;551;0.355026;10.177;0.034149;1.0;7510.06;B;False
facility:0000035;facility:7958838;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.292214339969746;-35.04819802058195;260290;-8.2382117;-34.9834594;261160;9.317034625525157;0-50;False;26;26;True;6984;204;0.02921;5.361;0.023196;1.0;1562.17;P;False
facility:0000035;facility:9499199;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.292214339969746;-35.04819802058195;260290;-8.099181;-34.970345;260790;23.11140584354499;0-50;False;26;26;True;5473;58;0.010597;4.49;0.072721;1.0;663.04;L;False
facility:0000418;facility:0001120;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.030155;-34.90701109170914;261160;-8.063816693669658;-34.898189306259155;261160;3.8669813675424747;0-50;True;26;26;True;6358;460;0.07235;7.011;0.099402;1.0;9196.15;I;False
facility:0000418;facility:0020516;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.030155;-34.90701109170914;261160;-8.0198029;-34.926056;261160;2.392130268999407;0-50;True;26;26;True;5472;9;0.001645;2.833;0.135782;1.0;655.54;O;False
facility:0000418;facility:0134252;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.030155;-34.90701109170914;261160;-8.1313758;-34.9030027;261160;11.263902501634298;0-50;True;26;26;True;6683;1795;0.268592;11.079;0.052671;1.0;10055.09;B;False
facility:0000418;facility:0147028;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.030155;-34.90701109170914;261160;-8.088696406877409;-34.933369159698486;261160;7.127065121724203;0-50;True;26;26;True;1552;551;0.355026;10.177;0.034149;1.0;7510.06;B;False
facility:0000418;facility:0265500;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.030155;-34.90701109170914;261160;-8.100162749999999;-34.9256068367588;261160;8.049233624766524;0-50;True;26;26;True;1663;446;0.26819;6.768;0.199038;1.0;7599.35;B;False
facility:0000418;facility:2344882;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.030155;-34.90701109170914;261160;-8.0115115;-34.8423953;260960;7.4105422956305;0-50;False;26;26;True;6806;357;0.052454;6.129;0.059359;1.0;1365.85;O;False
facility:0000418;facility:6908268;transfer;2;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.030155;-34.90701109170914;261160;-8.072343353187884;-34.95054066181183;261160;6.7063731919235785;0-50;True;26;26;True;9040;825;0.091261;7.166;0.065265;1.0;2080.93;I;False
facility:0000426;facility:0000426;transfer;2;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.087400508649779;-34.96220827102661;261160;-8.087400508649779;-34.96220827102661;261160;0.0;0-50;True;26;26;True;17854;1158;0.064859;6.892;0.116332;1.0;1714.67;S;True
facility:0000426;facility:0000655;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.087400508649779;-34.96220827102661;261160;-8.05350385733086;-34.89777624607086;261160;8.032753545758013;0-50;True;26;26;True;35962;4050;0.112619;7.121;0.074301;1.0;2107.93;I;False
facility:0000426;facility:0134252;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.087400508649779;-34.96220827102661;261160;-8.1313758;-34.9030027;261160;8.147932165906056;0-50;True;26;26;True;6683;1795;0.268592;11.079;0.052671;1.0;10055.09;B;False
facility:0000426;facility:2343738;transfer;11;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.087400508649779;-34.96220827102661;261160;-8.1186945;-35.094869;260940;15.01278870373695;0-50;False;26;26;True;3160;203;0.064241;5.465;0.019937;1.0;2032.01;S;False
facility:0000426;facility:2777460;transfer;4;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.087400508649779;-34.96220827102661;261160;-8.041973;-34.873632;261160;10.982447714152233;0-50;True;26;26;True;5041;124;0.024598;5.778;0.023011;1.0;1492.78;S;False
facility:0000426;facility:2802783;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.087400508649779;-34.96220827102661;261160;-8.049008;-34.92233723402023;261160;6.123174290754706;0-50;True;26;26;True;20553;1565;0.076145;7.78;0.110738;1.0;2355.08;S;False
facility:0000426;facility:5356067;transfer;6;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.087400508649779;-34.96220827102661;261160;-8.1013199;-34.9704453;260790;1.793838772084836;0-50;False;26;26;True;7137;707;0.099061;7.666;0.037691;1.0;3083.51;S;False
facility:0000434;facility:0000434;transfer;6;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-8.066803665829326;-34.89079713821411;261160;-8.066803665829326;-34.89079713821411;261160;0.0;0-50;True;26;26;True;40069;1520;0.037935;4.979;0.016072;1.0;2899.04;C;True
