facility_node_id;admissions;deaths;regulated_transfer_exits;median_stay_days;icu_marker_count;total_value;dominant_icd_chapter;dominant_sex;dominant_race_color;mean_age;mean_stay_days;death_rate;regulated_transfer_exit_rate;icu_marker_rate;mean_value_per_admission
facility:2000733;7130;95;183;2.0;7130;6702749.16;O;3;03;24.655;3.659;0.013324;0.025666;1.0;940.08
facility:2000822;131;1;14;2.0;131;39056.89;J;1;99;32.901;2.84;0.007634;0.10687;1.0;298.14
facility:2000865;2185;39;123;2.0;2185;1030635.64;O;3;03;33.351;3.065;0.017849;0.056293;1.0;471.69
facility:2000970;333;6;43;2.0;333;164846.33;O;3;03;34.85;3.063;0.018018;0.129129;1.0;495.03
facility:2000997;144;3;48;2.0;144;73225.94;B;3;03;36.104;3.049;0.020833;0.333333;1.0;508.51
facility:2001020;380;0;32;2.5;380;119904.08;O;3;03;26.597;2.863;0.0;0.084211;1.0;315.54
facility:2001500;2705;62;189;2.0;2705;1241142.25;O;3;03;33.978;3.128;0.022921;0.069871;1.0;458.83
facility:2001578;7386;986;1276;4.0;7386;15045051.29;B;1;03;45.799;6.92;0.133496;0.172759;1.0;2036.97
facility:2001586;6354;498;561;3.0;6354;7239415.32;K;1;03;45.172;7.636;0.078376;0.088291;1.0;1139.35
facility:2001594;308;0;25;1.0;308;58980.82;O;3;03;32.266;2.279;0.0;0.081169;1.0;191.5
facility:2003570;456;17;37;2.25;456;198624.77;O;3;99;45.013;3.746;0.037281;0.08114;1.0;435.58
facility:2003775;3262;81;112;2.0;3262;2725800.53;O;3;01;32.332;3.21;0.024831;0.034335;1.0;835.62
facility:2003856;112;0;0;1.0;112;50540.8;O;3;03;23.214;0.929;0.0;0.0;1.0;451.26
facility:2003910;80;0;0;1.0;80;35472.0;O;3;03;24.288;0.975;0.0;0.0;1.0;443.4
facility:2005026;4609;14;32;2.0;4609;3379194.68;O;3;03;22.408;2.539;0.003038;0.006943;1.0;733.17
facility:2005050;7167;540;141;2.0;7167;11383741.96;O;3;03;35.297;4.066;0.075345;0.019674;1.0;1588.36
facility:2005417;9862;726;60;2.0;9862;29804987.39;S;3;03;44.048;5.079;0.073616;0.006084;1.0;3022.21
